instant,dteday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,total_count,hours,windspeed_category
18,2011-01-18,springer,2011,jan,no,Rabu,yes,Misty/Cloudy,0.216667,0.232333,0.861667,9.833924999999999,9,674,683,17,Low
19,2011-01-19,springer,2011,jan,no,Kamis,yes,Misty/Cloudy,0.292174,0.298422,0.741739,13.957239,78,1572,1650,18,Low
20,2011-01-20,springer,2011,jan,no,Jumat,yes,Misty/Cloudy,0.261667,0.25505,0.538333,13.125568,83,1844,1927,19,Low
21,2011-01-21,springer,2011,jan,no,Sabtu,yes,Clear/Partly cloudy,0.1775,0.157833,0.457083,23.667214,75,1468,1543,20,Medium
22,2011-01-22,springer,2011,jan,no,Minggu,no,Clear/Partly cloudy,0.0591304,0.0790696,0.4,11.52199,93,888,981,21,Low
23,2011-01-23,springer,2011,jan,no,Senin,no,Clear/Partly cloudy,0.0965217,0.0988391,0.436522,16.5222,150,836,986,22,Low
24,2011-01-24,springer,2011,jan,no,Selasa,yes,Clear/Partly cloudy,0.0973913,0.11793,0.491739,10.60811,86,1330,1416,23,Low
25,2011-01-25,springer,2011,jan,no,Rabu,yes,Misty/Cloudy,0.223478,0.234526,0.616957,8.696332,186,1799,1985,0,Low
26,2011-01-26,springer,2011,jan,no,Kamis,yes,Light/Rain,0.2175,0.2036,0.8625,19.68795,34,472,506,1,Low
27,2011-01-27,springer,2011,jan,no,Jumat,yes,Clear/Partly cloudy,0.195,0.2197,0.6875,7.627078999999999,15,416,431,2,Low
28,2011-01-28,springer,2011,jan,no,Sabtu,yes,Misty/Cloudy,0.203478,0.223317,0.793043,8.2611,38,1129,1167,3,Low
29,2011-01-29,springer,2011,jan,no,Minggu,no,Clear/Partly cloudy,0.196522,0.212126,0.651739,9.739455,123,975,1098,4,Low
30,2011-01-30,springer,2011,jan,no,Senin,no,Clear/Partly cloudy,0.216522,0.250322,0.722174,4.956834199999999,140,956,1096,6,Low
31,2011-01-31,springer,2011,jan,no,Selasa,yes,Misty/Cloudy,0.180833,0.18625,0.60375,12.541864,42,1459,1501,7,Low
32,2011-02-01,springer,2011,feb,no,Rabu,yes,Misty/Cloudy,0.192174,0.23453,0.829565,3.565271,47,1313,1360,8,Low
33,2011-02-02,springer,2011,feb,no,Kamis,yes,Misty/Cloudy,0.26,0.254417,0.775417,17.708636,72,1454,1526,9,Low
34,2011-02-03,springer,2011,feb,no,Jumat,yes,Clear/Partly cloudy,0.186957,0.177878,0.437826,18.609384,61,1489,1550,10,Low
35,2011-02-04,springer,2011,feb,no,Sabtu,yes,Misty/Cloudy,0.211304,0.228587,0.585217,8.565213,88,1620,1708,11,Low
36,2011-02-05,springer,2011,feb,no,Minggu,no,Misty/Cloudy,0.233333,0.243058,0.929167,10.792293,100,905,1005,12,Low
37,2011-02-06,springer,2011,feb,no,Senin,no,Clear/Partly cloudy,0.285833,0.291671,0.568333,9.5006,354,1269,1623,13,Low
38,2011-02-07,springer,2011,feb,no,Selasa,yes,Clear/Partly cloudy,0.271667,0.303658,0.738333,3.0423561,120,1592,1712,14,Low
39,2011-02-08,springer,2011,feb,no,Rabu,yes,Clear/Partly cloudy,0.220833,0.198246,0.537917,24.25065,64,1466,1530,15,Medium
40,2011-02-09,springer,2011,feb,no,Kamis,yes,Misty/Cloudy,0.134783,0.144283,0.494783,12.652213,53,1552,1605,16,Low
41,2011-02-10,springer,2011,feb,no,Jumat,yes,Clear/Partly cloudy,0.144348,0.149548,0.437391,14.869645,47,1491,1538,17,Low
42,2011-02-11,springer,2011,feb,no,Sabtu,yes,Clear/Partly cloudy,0.189091,0.213509,0.506364,7.272849999999999,149,1597,1746,18,Low
43,2011-02-12,springer,2011,feb,no,Minggu,no,Clear/Partly cloudy,0.2225,0.232954,0.544167,13.625589,288,1184,1472,19,Low
44,2011-02-13,springer,2011,feb,no,Senin,no,Clear/Partly cloudy,0.316522,0.324113,0.457391,17.479160999999998,397,1192,1589,20,Low
45,2011-02-14,springer,2011,feb,no,Selasa,yes,Clear/Partly cloudy,0.415,0.39835,0.375833,27.999836,208,1705,1913,21,Medium
46,2011-02-15,springer,2011,feb,no,Rabu,yes,Clear/Partly cloudy,0.266087,0.254274,0.314348,19.522058,140,1675,1815,22,Low
47,2011-02-16,springer,2011,feb,no,Kamis,yes,Clear/Partly cloudy,0.318261,0.3162,0.423478,16.869996999999998,218,1897,2115,23,Low
48,2011-02-17,springer,2011,feb,no,Jumat,yes,Clear/Partly cloudy,0.435833,0.428658,0.505,15.416968,259,2216,2475,0,Low
49,2011-02-18,springer,2011,feb,no,Sabtu,yes,Clear/Partly cloudy,0.521667,0.511983,0.516667,17.749975000000003,579,2348,2927,1,Low
50,2011-02-19,springer,2011,feb,no,Minggu,no,Clear/Partly cloudy,0.399167,0.391404,0.187917,34.000021,532,1103,1635,4,Medium
51,2011-02-20,springer,2011,feb,no,Senin,no,Clear/Partly cloudy,0.285217,0.27733,0.407826,14.956745,639,1173,1812,5,Low
52,2011-02-21,springer,2011,feb,yes,Selasa,no,Misty/Cloudy,0.303333,0.284075,0.605,20.625682,195,912,1107,6,Low
53,2011-02-22,springer,2011,feb,no,Rabu,yes,Clear/Partly cloudy,0.182222,0.186033,0.577778,13.110761,74,1376,1450,7,Low
54,2011-02-23,springer,2011,feb,no,Kamis,yes,Clear/Partly cloudy,0.221739,0.245717,0.423043,6.3055710000000005,139,1778,1917,8,Low
55,2011-02-24,springer,2011,feb,no,Jumat,yes,Misty/Cloudy,0.295652,0.289191,0.697391,16.783231999999998,100,1707,1807,9,Low
56,2011-02-25,springer,2011,feb,no,Sabtu,yes,Misty/Cloudy,0.364348,0.350461,0.712174,23.218113,120,1341,1461,10,Medium
57,2011-02-26,springer,2011,feb,no,Minggu,no,Clear/Partly cloudy,0.2825,0.282192,0.537917,12.500257,424,1545,1969,11,Low
58,2011-02-27,springer,2011,feb,no,Senin,no,Clear/Partly cloudy,0.343478,0.351109,0.68,8.391615999999999,694,1708,2402,12,Low
59,2011-02-28,springer,2011,feb,no,Selasa,yes,Misty/Cloudy,0.407273,0.400118,0.876364,19.408962,81,1365,1446,13,Low
60,2011-03-01,springer,2011,mar,no,Rabu,yes,Clear/Partly cloudy,0.266667,0.263879,0.535,14.500475,137,1714,1851,14,Low
61,2011-03-02,springer,2011,mar,no,Kamis,yes,Clear/Partly cloudy,0.335,0.320071,0.449583,20.624811,231,1903,2134,15,Low
62,2011-03-03,springer,2011,mar,no,Jumat,yes,Clear/Partly cloudy,0.198333,0.200133,0.318333,15.125518000000001,123,1562,1685,16,Low
63,2011-03-04,springer,2011,mar,no,Sabtu,yes,Misty/Cloudy,0.261667,0.255679,0.610417,13.624182,214,1730,1944,17,Low
64,2011-03-05,springer,2011,mar,no,Minggu,no,Misty/Cloudy,0.384167,0.378779,0.789167,16.875357,640,1437,2077,18,Low
65,2011-03-06,springer,2011,mar,no,Senin,no,Misty/Cloudy,0.376522,0.366252,0.948261,23.000229,114,491,605,19,Medium
66,2011-03-07,springer,2011,mar,no,Selasa,yes,Clear/Partly cloudy,0.261739,0.238461,0.551304,22.870584,244,1628,1872,20,Medium
67,2011-03-08,springer,2011,mar,no,Rabu,yes,Clear/Partly cloudy,0.2925,0.3024,0.420833,8.083549999999999,316,1817,2133,21,Low
68,2011-03-09,springer,2011,mar,no,Kamis,yes,Misty/Cloudy,0.295833,0.286608,0.775417,14.750050000000002,191,1700,1891,22,Low
69,2011-03-10,springer,2011,mar,no,Jumat,yes,Light/Rain,0.389091,0.385668,0.0,17.545759,46,577,623,23,Low
70,2011-03-11,springer,2011,mar,no,Sabtu,yes,Misty/Cloudy,0.316522,0.305,0.649565,15.60899,247,1730,1977,0,Low
71,2011-03-12,springer,2011,mar,no,Minggu,no,Clear/Partly cloudy,0.329167,0.32575,0.594583,14.791924999999999,724,1408,2132,1,Low
72,2011-03-13,springer,2011,mar,no,Senin,no,Clear/Partly cloudy,0.384348,0.380091,0.527391,18.130468,982,1435,2417,2,Low
73,2011-03-14,springer,2011,mar,no,Selasa,yes,Clear/Partly cloudy,0.325217,0.332,0.496957,9.174042,359,1687,2046,4,Low
74,2011-03-15,springer,2011,mar,no,Rabu,yes,Misty/Cloudy,0.317391,0.318178,0.655652,12.348703,289,1767,2056,5,Low
75,2011-03-16,springer,2011,mar,no,Kamis,yes,Misty/Cloudy,0.365217,0.36693,0.776522,13.608839,321,1871,2192,6,Low
76,2011-03-17,springer,2011,mar,no,Jumat,yes,Clear/Partly cloudy,0.415,0.410333,0.602917,14.041792999999998,424,2320,2744,7,Low
77,2011-03-18,springer,2011,mar,no,Sabtu,yes,Clear/Partly cloudy,0.54,0.527009,0.525217,15.478139,884,2355,3239,8,Low
78,2011-03-19,springer,2011,mar,no,Minggu,no,Clear/Partly cloudy,0.4725,0.466525,0.379167,24.667189,1424,1693,3117,9,Medium
79,2011-03-20,springer,2011,mar,no,Senin,no,Clear/Partly cloudy,0.3325,0.32575,0.47375,13.917307,1047,1424,2471,10,Low
80,2011-03-21,summer,2011,mar,no,Selasa,yes,Misty/Cloudy,0.430435,0.409735,0.737391,19.348461,401,1676,2077,11,Low
81,2011-03-22,summer,2011,mar,no,Rabu,yes,Clear/Partly cloudy,0.441667,0.440642,0.624583,15.125250000000001,460,2243,2703,12,Low
82,2011-03-23,summer,2011,mar,no,Kamis,yes,Misty/Cloudy,0.346957,0.337939,0.839565,15.695487,203,1918,2121,13,Low
83,2011-03-24,summer,2011,mar,no,Jumat,yes,Misty/Cloudy,0.285,0.270833,0.805833,16.333729,166,1699,1865,14,Low
84,2011-03-25,summer,2011,mar,no,Sabtu,yes,Clear/Partly cloudy,0.264167,0.256312,0.495,15.458575000000002,300,1910,2210,15,Low
85,2011-03-26,summer,2011,mar,no,Minggu,no,Clear/Partly cloudy,0.265833,0.257571,0.394167,14.041257,981,1515,2496,16,Low
86,2011-03-27,summer,2011,mar,no,Senin,no,Misty/Cloudy,0.253043,0.250339,0.493913,12.348099999999999,472,1221,1693,17,Low
87,2011-03-28,summer,2011,mar,no,Selasa,yes,Clear/Partly cloudy,0.264348,0.257574,0.302174,14.217668,222,1806,2028,18,Low
88,2011-03-29,summer,2011,mar,no,Rabu,yes,Clear/Partly cloudy,0.3025,0.292908,0.314167,15.208732,317,2108,2425,19,Low
89,2011-03-30,summer,2011,mar,no,Kamis,yes,Misty/Cloudy,0.3,0.29735,0.646667,11.583495999999998,168,1368,1536,20,Low
90,2011-03-31,summer,2011,mar,no,Jumat,yes,Light/Rain,0.268333,0.257575,0.918333,14.582282000000001,179,1506,1685,21,Low
91,2011-04-01,summer,2011,apr,no,Sabtu,yes,Misty/Cloudy,0.3,0.283454,0.68625,17.333436,307,1920,2227,22,Low
92,2011-04-02,summer,2011,apr,no,Minggu,no,Misty/Cloudy,0.315,0.315637,0.65375,13.208782,898,1354,2252,23,Low
93,2011-04-03,summer,2011,apr,no,Senin,no,Clear/Partly cloudy,0.378333,0.378767,0.48,12.208271000000002,1651,1598,3249,0,Low
94,2011-04-04,summer,2011,apr,no,Selasa,yes,Clear/Partly cloudy,0.573333,0.542929,0.42625,25.833257,734,2381,3115,1,Medium
95,2011-04-05,summer,2011,apr,no,Rabu,yes,Misty/Cloudy,0.414167,0.39835,0.642083,26.000488999999998,167,1628,1795,2,Medium
96,2011-04-06,summer,2011,apr,no,Kamis,yes,Clear/Partly cloudy,0.390833,0.387608,0.470833,17.625221,413,2395,2808,4,Low
97,2011-04-07,summer,2011,apr,no,Jumat,yes,Clear/Partly cloudy,0.4375,0.433696,0.602917,10.874904,571,2570,3141,5,Low
98,2011-04-08,summer,2011,apr,no,Sabtu,yes,Misty/Cloudy,0.335833,0.324479,0.83625,15.208464,172,1299,1471,6,Low
99,2011-04-09,summer,2011,apr,no,Minggu,no,Misty/Cloudy,0.3425,0.341529,0.8775,8.916561,879,1576,2455,7,Low
100,2011-04-10,summer,2011,apr,no,Senin,no,Misty/Cloudy,0.426667,0.426737,0.8575,9.833389,1188,1707,2895,8,Low
101,2011-04-11,summer,2011,apr,no,Selasa,yes,Misty/Cloudy,0.595652,0.565217,0.716956,21.739758,855,2493,3348,9,Low
102,2011-04-12,summer,2011,apr,no,Rabu,yes,Misty/Cloudy,0.5025,0.493054,0.739167,18.416892999999998,257,1777,2034,10,Low
103,2011-04-13,summer,2011,apr,no,Kamis,yes,Misty/Cloudy,0.4125,0.417283,0.819167,16.791338999999997,209,1953,2162,11,Low
104,2011-04-14,summer,2011,apr,no,Jumat,yes,Clear/Partly cloudy,0.4675,0.462742,0.540417,7.4169,529,2738,3267,12,Low
105,2011-04-15,summer,2011,apr,yes,Sabtu,no,Clear/Partly cloudy,0.446667,0.441913,0.67125,15.167124999999999,642,2484,3126,13,Low
106,2011-04-16,summer,2011,apr,no,Minggu,no,Light/Rain,0.430833,0.425492,0.888333,22.834136,121,674,795,14,Medium
107,2011-04-17,summer,2011,apr,no,Senin,no,Clear/Partly cloudy,0.456667,0.445696,0.479583,20.334232,1558,2186,3744,15,Low
108,2011-04-18,summer,2011,apr,no,Selasa,yes,Clear/Partly cloudy,0.5125,0.503146,0.5425,10.958988999999999,669,2760,3429,16,Low
109,2011-04-19,summer,2011,apr,no,Rabu,yes,Misty/Cloudy,0.505833,0.489258,0.665833,10.584057,409,2795,3204,17,Low
110,2011-04-20,summer,2011,apr,no,Kamis,yes,Clear/Partly cloudy,0.595,0.564392,0.614167,16.208975,613,3331,3944,18,Low
111,2011-04-21,summer,2011,apr,no,Jumat,yes,Clear/Partly cloudy,0.459167,0.453892,0.407083,21.792286,745,3444,4189,19,Low
112,2011-04-22,summer,2011,apr,no,Sabtu,yes,Misty/Cloudy,0.336667,0.321954,0.729583,14.707906999999999,177,1506,1683,20,Low
113,2011-04-23,summer,2011,apr,no,Minggu,no,Misty/Cloudy,0.46,0.450121,0.887917,15.458575000000002,1462,2574,4036,21,Low
114,2011-04-24,summer,2011,apr,no,Senin,no,Misty/Cloudy,0.581667,0.551763,0.810833,12.875725000000001,1710,2481,4191,22,Low
115,2011-04-25,summer,2011,apr,no,Selasa,yes,Clear/Partly cloudy,0.606667,0.5745,0.776667,12.417311,773,3300,4073,23,Low
116,2011-04-26,summer,2011,apr,no,Rabu,yes,Clear/Partly cloudy,0.631667,0.594083,0.729167,21.875500000000002,678,3722,4400,0,Low
117,2011-04-27,summer,2011,apr,no,Kamis,yes,Misty/Cloudy,0.62,0.575142,0.835417,20.917399999999997,547,3325,3872,1,Low
118,2011-04-28,summer,2011,apr,no,Jumat,yes,Misty/Cloudy,0.6175,0.578929,0.700833,21.500836000000003,569,3489,4058,2,Low
119,2011-04-29,summer,2011,apr,no,Sabtu,yes,Clear/Partly cloudy,0.51,0.497463,0.457083,16.084221,878,3717,4595,4,Low
120,2011-04-30,summer,2011,apr,no,Minggu,no,Clear/Partly cloudy,0.4725,0.464021,0.503333,15.750025,1965,3347,5312,5,Low
121,2011-05-01,summer,2011,mei,no,Senin,no,Misty/Cloudy,0.451667,0.448204,0.762083,7.125718,1138,2213,3351,6,Low
122,2011-05-02,summer,2011,mei,no,Selasa,yes,Misty/Cloudy,0.549167,0.532833,0.73,12.291418,847,3554,4401,7,Low
123,2011-05-03,summer,2011,mei,no,Rabu,yes,Misty/Cloudy,0.616667,0.582079,0.697083,22.958689,603,3848,4451,8,Medium
124,2011-05-04,summer,2011,mei,no,Kamis,yes,Misty/Cloudy,0.414167,0.40465,0.737083,22.042732,255,2378,2633,9,Low
125,2011-05-05,summer,2011,mei,no,Jumat,yes,Clear/Partly cloudy,0.459167,0.441917,0.444167,19.791263999999998,614,3819,4433,10,Low
126,2011-05-06,summer,2011,mei,no,Sabtu,yes,Clear/Partly cloudy,0.479167,0.474117,0.59,15.292482,894,3714,4608,11,Low
127,2011-05-07,summer,2011,mei,no,Minggu,no,Clear/Partly cloudy,0.52,0.512621,0.54125,10.750150000000001,1612,3102,4714,12,Low
128,2011-05-08,summer,2011,mei,no,Senin,no,Clear/Partly cloudy,0.528333,0.518933,0.631667,5.0007125,1401,2932,4333,13,Low
129,2011-05-09,summer,2011,mei,no,Selasa,yes,Clear/Partly cloudy,0.5325,0.525246,0.58875,11.792,664,3698,4362,14,Low
130,2011-05-10,summer,2011,mei,no,Rabu,yes,Clear/Partly cloudy,0.5325,0.522721,0.489167,7.749956999999999,694,4109,4803,15,Low
131,2011-05-11,summer,2011,mei,no,Kamis,yes,Clear/Partly cloudy,0.5425,0.5284,0.632917,8.083014,550,3632,4182,16,Low
132,2011-05-12,summer,2011,mei,no,Jumat,yes,Clear/Partly cloudy,0.535,0.523363,0.7475,12.707689,695,4169,4864,17,Low
133,2011-05-13,summer,2011,mei,no,Sabtu,yes,Misty/Cloudy,0.5125,0.4943,0.863333,12.041575,692,3413,4105,18,Low
134,2011-05-14,summer,2011,mei,no,Minggu,no,Misty/Cloudy,0.520833,0.500629,0.9225,9.041649999999999,902,2507,3409,19,Low
135,2011-05-15,summer,2011,mei,no,Senin,no,Misty/Cloudy,0.5625,0.536,0.867083,10.249593,1582,2971,4553,20,Low
136,2011-05-16,summer,2011,mei,no,Selasa,yes,Clear/Partly cloudy,0.5775,0.550512,0.787917,8.500357000000001,773,3185,3958,21,Low
137,2011-05-17,summer,2011,mei,no,Rabu,yes,Misty/Cloudy,0.561667,0.538529,0.837917,18.582718,678,3445,4123,22,Low
138,2011-05-18,summer,2011,mei,no,Kamis,yes,Misty/Cloudy,0.55,0.527158,0.87,13.499964,536,3319,3855,23,Low
139,2011-05-19,summer,2011,mei,no,Jumat,yes,Misty/Cloudy,0.530833,0.510742,0.829583,7.250271000000001,735,3840,4575,0,Low
140,2011-05-20,summer,2011,mei,no,Sabtu,yes,Clear/Partly cloudy,0.536667,0.529042,0.719583,8.375871,909,4008,4917,1,Low
141,2011-05-21,summer,2011,mei,no,Minggu,no,Clear/Partly cloudy,0.6025,0.571975,0.626667,8.083549999999999,2258,3547,5805,2,Low
142,2011-05-22,summer,2011,mei,no,Senin,no,Clear/Partly cloudy,0.604167,0.5745,0.749583,9.916536,1576,3084,4660,4,Low
143,2011-05-23,summer,2011,mei,no,Selasa,yes,Misty/Cloudy,0.631667,0.590296,0.81,15.667413999999999,836,3438,4274,5,Low
144,2011-05-24,summer,2011,mei,no,Rabu,yes,Misty/Cloudy,0.66,0.604813,0.740833,13.875164,659,3833,4492,6,Low
145,2011-05-25,summer,2011,mei,no,Kamis,yes,Clear/Partly cloudy,0.660833,0.615542,0.69625,10.333611000000001,740,4238,4978,7,Low
146,2011-05-26,summer,2011,mei,no,Jumat,yes,Clear/Partly cloudy,0.708333,0.654688,0.6775,13.376014,758,3919,4677,8,Low
147,2011-05-27,summer,2011,mei,no,Sabtu,yes,Clear/Partly cloudy,0.681667,0.637008,0.65375,16.125493,871,3808,4679,9,Low
148,2011-05-28,summer,2011,mei,no,Minggu,no,Clear/Partly cloudy,0.655833,0.612379,0.729583,15.416164,2001,2757,4758,10,Low
149,2011-05-29,summer,2011,mei,no,Senin,no,Clear/Partly cloudy,0.6675,0.61555,0.81875,14.333846,2355,2433,4788,11,Low
150,2011-05-30,summer,2011,mei,yes,Selasa,no,Clear/Partly cloudy,0.733333,0.671092,0.685,8.792075,1549,2549,4098,12,Low
151,2011-05-31,summer,2011,mei,no,Rabu,yes,Clear/Partly cloudy,0.775,0.725383,0.636667,7.459042999999999,673,3309,3982,13,Low
152,2011-06-01,summer,2011,juni,no,Kamis,yes,Misty/Cloudy,0.764167,0.720967,0.677083,13.875164,513,3461,3974,14,Low
153,2011-06-02,summer,2011,juni,no,Jumat,yes,Clear/Partly cloudy,0.715,0.643942,0.305,19.583229000000003,736,4232,4968,15,Low
154,2011-06-03,summer,2011,juni,no,Sabtu,yes,Clear/Partly cloudy,0.62,0.587133,0.354167,16.959107,898,4414,5312,16,Low
155,2011-06-04,summer,2011,juni,no,Minggu,no,Clear/Partly cloudy,0.635,0.594696,0.45625,8.250514,1869,3473,5342,17,Low
156,2011-06-05,summer,2011,juni,no,Senin,no,Misty/Cloudy,0.648333,0.616804,0.6525,9.292364000000001,1685,3221,4906,18,Low
157,2011-06-06,summer,2011,juni,no,Selasa,yes,Clear/Partly cloudy,0.678333,0.621858,0.6,8.167032,673,3875,4548,19,Low
158,2011-06-07,summer,2011,juni,no,Rabu,yes,Clear/Partly cloudy,0.7075,0.65595,0.597917,12.583136,763,4070,4833,20,Low
159,2011-06-08,summer,2011,juni,no,Kamis,yes,Clear/Partly cloudy,0.775833,0.727279,0.622083,9.166739,676,3725,4401,21,Low
160,2011-06-09,summer,2011,juni,no,Jumat,yes,Misty/Cloudy,0.808333,0.757579,0.568333,10.042161,563,3352,3915,22,Low
161,2011-06-10,summer,2011,juni,no,Sabtu,yes,Clear/Partly cloudy,0.755,0.703292,0.605,9.417118,815,3771,4586,23,Low
162,2011-06-11,summer,2011,juni,no,Minggu,no,Clear/Partly cloudy,0.725,0.678038,0.654583,10.374949999999998,1729,3237,4966,0,Low
163,2011-06-12,summer,2011,juni,no,Senin,no,Clear/Partly cloudy,0.6925,0.643325,0.747917,10.958988999999999,1467,2993,4460,1,Low
164,2011-06-13,summer,2011,juni,no,Selasa,yes,Clear/Partly cloudy,0.635,0.601654,0.494583,20.45845,863,4157,5020,2,Low
165,2011-06-14,summer,2011,juni,no,Rabu,yes,Clear/Partly cloudy,0.604167,0.591546,0.507083,18.041961,727,4164,4891,3,Low
166,2011-06-15,summer,2011,juni,no,Kamis,yes,Clear/Partly cloudy,0.626667,0.587754,0.471667,11.250104,769,4411,5180,4,Low
167,2011-06-16,summer,2011,juni,no,Jumat,yes,Misty/Cloudy,0.628333,0.595346,0.688333,13.833556999999999,545,3222,3767,5,Low
168,2011-06-17,summer,2011,juni,no,Sabtu,yes,Clear/Partly cloudy,0.649167,0.600383,0.735833,9.582942999999998,863,3981,4844,6,Low
169,2011-06-18,summer,2011,juni,no,Minggu,no,Clear/Partly cloudy,0.696667,0.643954,0.670417,8.000336,1807,3312,5119,7,Low
170,2011-06-19,summer,2011,juni,no,Senin,no,Misty/Cloudy,0.699167,0.645846,0.666667,6.834,1639,3105,4744,8,Low
171,2011-06-20,summer,2011,juni,no,Selasa,yes,Misty/Cloudy,0.635,0.595346,0.74625,10.416825,699,3311,4010,9,Low
172,2011-06-21,fall,2011,juni,no,Rabu,yes,Misty/Cloudy,0.680833,0.637646,0.770417,11.458675000000001,774,4061,4835,10,Low
173,2011-06-22,fall,2011,juni,no,Kamis,yes,Clear/Partly cloudy,0.733333,0.693829,0.7075,11.541554,661,3846,4507,11,Low
174,2011-06-23,fall,2011,juni,no,Jumat,yes,Misty/Cloudy,0.728333,0.693833,0.703333,15.999868,746,4044,4790,12,Low
175,2011-06-24,fall,2011,juni,no,Sabtu,yes,Clear/Partly cloudy,0.724167,0.656583,0.573333,14.875675,969,4022,4991,13,Low
176,2011-06-25,fall,2011,juni,no,Minggu,no,Clear/Partly cloudy,0.695,0.643313,0.483333,14.041257,1782,3420,5202,14,Low
177,2011-06-26,fall,2011,juni,no,Senin,no,Clear/Partly cloudy,0.68,0.637629,0.513333,6.3337311,1920,3385,5305,15,Low
178,2011-06-27,fall,2011,juni,no,Selasa,yes,Misty/Cloudy,0.6825,0.637004,0.658333,7.2083960000000005,854,3854,4708,16,Low
179,2011-06-28,fall,2011,juni,no,Rabu,yes,Clear/Partly cloudy,0.744167,0.692558,0.634167,9.666960999999999,732,3916,4648,17,Low
180,2011-06-29,fall,2011,juni,no,Kamis,yes,Clear/Partly cloudy,0.728333,0.654688,0.497917,17.542007,848,4377,5225,18,Low
181,2011-06-30,fall,2011,juni,no,Jumat,yes,Clear/Partly cloudy,0.696667,0.637008,0.434167,12.415904000000001,1027,4488,5515,19,Low
182,2011-07-01,fall,2011,juli,no,Sabtu,yes,Clear/Partly cloudy,0.7225,0.652162,0.39625,6.874736,1246,4116,5362,20,Low
183,2011-07-02,fall,2011,juli,no,Minggu,no,Clear/Partly cloudy,0.738333,0.667308,0.444583,7.709154,2204,2915,5119,21,Low
184,2011-07-03,fall,2011,juli,no,Senin,no,Misty/Cloudy,0.716667,0.668575,0.6825,15.333486,2282,2367,4649,22,Low
185,2011-07-04,fall,2011,juli,yes,Selasa,no,Misty/Cloudy,0.726667,0.665417,0.637917,5.4591064000000005,3065,2978,6043,23,Low
186,2011-07-05,fall,2011,juli,no,Rabu,yes,Clear/Partly cloudy,0.746667,0.696338,0.590417,8.459286,1031,3634,4665,0,Low
187,2011-07-06,fall,2011,juli,no,Kamis,yes,Clear/Partly cloudy,0.72,0.685633,0.743333,10.042161,784,3845,4629,1,Low
188,2011-07-07,fall,2011,juli,no,Jumat,yes,Clear/Partly cloudy,0.75,0.686871,0.65125,10.666400000000001,754,3838,4592,2,Low
189,2011-07-08,fall,2011,juli,no,Sabtu,yes,Misty/Cloudy,0.709167,0.670483,0.757917,15.083643,692,3348,4040,3,Low
190,2011-07-09,fall,2011,juli,no,Minggu,no,Clear/Partly cloudy,0.733333,0.664158,0.609167,11.250104,1988,3348,5336,4,Low
191,2011-07-10,fall,2011,juli,no,Senin,no,Clear/Partly cloudy,0.7475,0.690025,0.578333,12.292557,1743,3138,4881,5,Low
